gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,No,22,No,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,42.84647115870797,942.6223654915754,Yes
Male,1,No,Yes,49,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,66.22607849306598,3245.077846160233,No
Female,1,No,No,61,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.5636812856623,5768.3845584254,Yes
Female,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),23.569609116383663,494.9617914440569,Yes
Female,1,Yes,No,58,Yes,Yes,No,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,39.119933828330886,2268.9561620431914,No
Female,1,Yes,Yes,43,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),47.458451958097754,2040.7134341982035,Yes
Male,1,No,No,55,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.37317087077953,4585.524397892874,Yes
Male,1,Yes,Yes,22,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,23.345421209889743,513.5992666175744,Yes
Male,0,Yes,Yes,32,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,86.10732928823357,2755.4345372234743,No
Female,0,No,Yes,60,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.9085178085545,5814.51106851327,Yes
Female,0,Yes,Yes,22,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.30941366925722,1546.807100723659,No
Female,1,Yes,Yes,18,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),21.91146913172967,394.40644437113406,No
Male,0,Yes,No,58,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,91.07686747771686,5282.458313707578,Yes
Female,0,Yes,Yes,49,No,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,96.80077400113,4743.23792605537,Yes
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.2805058021719,3525.37871468036,Yes
Male,1,No,Yes,46,Yes,Yes,No,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,20.122353994432405,925.6282837438906,Yes
Female,0,No,No,72,No,No phone service,No,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),62.54902532418082,4503.5298233410185,Yes
Male,1,Yes,No,66,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.07147776398111,5416.717532422753,No
Female,1,No,No,58,Yes,No phone service,No,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),71.77085893999538,4162.709818519732,No
Male,0,No,No,50,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,102.4173829968818,5120.86914984409,Yes
Male,1,Yes,Yes,35,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),24.22939280286117,848.028748100141,No
Female,0,No,No,45,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),18.92173841020526,851.4782284592368,No
Female,1,No,Yes,66,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,96.73273148125153,6384.360277762601,Yes
Female,0,No,Yes,45,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,72.48457060379934,3261.8056771709703,No
Female,1,No,No,53,No,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),64.83146927570384,3436.0678716123034,Yes
Male,1,Yes,No,64,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,40.699811692798384,2604.7879483390966,Yes
Male,1,No,Yes,36,No,Yes,No,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),19.670081135580517,708.1229208808986,No
Male,0,Yes,Yes,70,No,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,111.30019625017113,7791.013737511978,No
Female,0,Yes,No,33,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,100.79309147721635,3326.1720187481396,No
Male,0,Yes,Yes,68,No,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,46.65017172961723,3172.2116776139715,Yes
Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,71.05315421405504,1563.169392709211,Yes
Male,0,No,Yes,50,No,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,82.57919265271676,4128.959632635838,Yes
Female,1,No,No,39,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),106.42687818609713,4150.648249257788,Yes
Female,0,Yes,No,60,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),98.98147255254445,5938.888353152667,Yes
Female,1,No,Yes,33,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),72.93530058176901,2406.8649191983773,No
Female,1,Yes,No,46,No,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),46.688323456752556,2147.6628790106174,No
Male,0,No,No,55,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),61.46823957329426,3380.7531765311846,Yes
Male,0,No,Yes,48,No,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,92.57520923722862,4443.610043386974,Yes
Female,1,No,No,59,No,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),56.09563501751504,3309.6424660333873,Yes
Female,1,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),86.85557274954655,4690.200928475514,Yes
Female,1,Yes,Yes,51,Yes,Yes,No,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),75.2433634874345,3837.411537859159,Yes
Male,0,Yes,Yes,31,No,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),78.99886524778242,2448.964822681255,No
Female,1,No,No,21,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),118.32524117451896,2484.830064664898,Yes
Female,1,No,Yes,32,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),69.57829588211283,2226.5054682276104,No
Male,1,Yes,No,65,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,55.6384913440214,3616.5019373613914,No
Male,0,No,No,71,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,58.208926024040785,4132.833747706895,Yes
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,58.85432297313646,3472.4050554150513,Yes
Male,0,No,Yes,44,No,Yes,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),97.1049773592014,4272.619003804862,No
Male,1,No,No,42,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,119.5055435330561,5019.232828388356,Yes
Male,0,No,Yes,57,No,No phone service,No,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),119.70002829544003,6822.901612840082,No
Male,1,No,Yes,33,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.51465929969342,2656.983756889883,Yes
